Column1,title,author,content,price,grade,genre
0,센 강의 이름 모를 여인,기욤 뮈소 저,MD 한마디                                                    기욤 뮈소의 매혹적 스릴러 센 강에서 익사 직전에 구조된 한 여인 유전자 검사 결과는 그가 일 년 전 항공기 사고로 사망한 유명 피아니스트라 말한다 두 사람의 관계는 이 의문의 사건이 가리키는 진실은 무엇일까 고대 그리스의 디오니소스 신화와 센 강을 배경으로 전해 내려오는 데스마스크 이야기를 결합한 소설  소설 MD 박형욱                                                센 강에서 건져 올린 여인이 몰고 온비교불가의 아찔한 서스펜스가 시작된다사랑과 감동의 마에스트로 기욤 뮈소 2021년 신작센 강의 이름 모를 여인은 한국에서 18번째로 출간하는 기욤 뮈소의 장편소설이다 기욤 뮈소는 20년 가까이 작가로 활동하는 동안 매년 한 권씩 소설을 내고 있고 프랑스뿐만 아니라 세계 각국에서 베스트셀러가 되고 있다 초기에는 로맨스 판타지 스릴러가 결합된 작품들이 주를 이루었다면 최근에는 스릴러의 비중이 큰 편이다 기욤 뮈소가 무려 20년 가까이 변함없는 인기를 얻고 있는 비결이 있다면 언제나 변신을 위한 노력을 게을리 하지 않기 때문이다 최근 2년 동안 기욤 뮈소는 작가들의 비밀스러운 삶 인생은 소설이다를 통해 작가와 등장인물들의 관계를 주제로 매우 깊이 있고 내밀한 이야기를 선보였다 이번에는 고대 그리스의 디오니소스 신화와 센 강을 배경으로 전해 내려오는 데스마스크 이야기를 결합시킨 소재로 매우 독특하고 매혹적인 스릴러를 선보이고 있다19세기 말에 아름다운 여인 하나가 센 강에 몸을 던져 스스로 목숨을 끊었다 센 강을 지키던 하천경비대원이 여인의 시신을 건져냈다 병원 영안실 직원 하나가 여인의 얼굴이 어찌나 아름다운지 몰래 데스마스크를 떴다 그 후 석고로 제작된 이 데스마스크 복제품들은 파리 곳곳으로 퍼져나갔고 파리 예술계 인사들의 집을 장식하는 하나의 아이콘이 되었다 시인 루이 아라공과 소설가 알베르 카뮈의 집에도 여인의 데스마스크가 걸려 있었다고 한다 기욤 뮈소는 센 강의 이름 모를 여인에 대한 이야기와 고대 그리스로부터 전해 내려오는 디오니소스 숭배 관습을 버무려 가슴이 서늘해지는 한 편의 스릴러를 선보이고 있다                                      책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,14400,9.4,1
1,요리코를 위해,노리즈키 린타로 저,모두가 누군가가 세팅한 무대 위의 인형에 지나지 않았다괴물은 누구이며 그 괴물을 움직이는 자는 누구인가요리코를 위해 스페셜 리커버 에디션장르소설 마니아는 물론 분야를 넘어 수많은 독자들에게 사랑받은 화제의 베스트셀러 요리코를 위해가 스페셜 리커버 에디션으로 화려하게 재탄생했다 딸을 잃은 아버지가 딸의 죽음에 감춰진 진실을 추적하면서 출발하는 추리소설 요리코를 위해는 결말 궁금해서 화장실 못 가는 책 영화로 나와도 손색없을 작품 앉은 자리에서 한번에 읽어버린 소설 등 독자들의 극찬과 호평을 받으며 2020년 3월 출간 이후부터 현재까지 5만 부 이상의 판매 수치를 기록했다 독자들의 이러한 뜨거운 반응에 힘입어 스페셜 에디션으로 새롭게 단장한 요리코를 위해는 리커버판만의 색다른 매력을 담은 동시에 참혹한 여운을 남기는 소설 속 비극을 절묘하게 구현한다여고생 딸 요리코가 임신한 몸으로 살해당한 사실을 알게 된 아버지는 범인을 찾아내 단죄하고 그 과정을 수기로 남긴 후 자살을 감행하지만 간신히 살아남는다 한편 탐정 노리즈키 린타로는 아버지의 수기에서 수상쩍은 점을 발견해 재수사를 시작한다 사건에 다른 진상이 존재할지도 모른다는 린타로의 예감은 요리코 주변인들의 증언을 모으면서 구체적인 형상을 띠어가고 진실을 밝혀내기 위해서 린타로는 14년에 걸친 가족의 비극 속으로 걸어 들어간다 그리고 사건의 진상은 죽은 딸을 위해 살해마저 무릅쓰는 아버지의 사랑이라는 예측 가능한 서사의 안전지대를 박차고 나아간다 또한 마지막 세 장에 다다라서야 밝혀지는 충격적인 진실과 반전이 독자를 경악에 몰아넣는다                                     책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,13500,9,1
2,조인계획,히가시노 게이고 저,범인이 사건을 추리한다청년 작가 히가시노 게이고의 본격 스포츠 미스터리전 세계 누적 판매 1300만 부를 기록한 나미야 잡화점의 기적을 비롯해 발표하는 작품마다 베스트셀러에 오르며 이름 자체가 하나의 장르가 된 작가 현존하는 일본 추리소설계 최고의 거장 히가시노 게이고의 초기 걸작 조인계획이 출간되었다 이 소설은 동계 스포츠의 꽃이라 불리는 스키점프를 소재로 인간의 신체적 한계를 뛰어넘고자 하는 욕망과 승리를 향한 광기를 그렸다 스포츠와 과학을 아우르는 폭넓은 지식을 바탕으로 놀라운 트릭과 반전을 선사하는 한편 인간성과 맞바꾼 승리가 인간다움을 잃지 않는 패배보다 가치 있는가라는 질문을 던진다 조인이라 불리는 스물두 살의 천재 스키점프 선수 니레이 아키라가 합숙 훈련 도중 의문의 죽음을 당한다 그리고 며칠 뒤 경찰에 익명으로 날아든 한 통의 밀고장 범인은 스키점프팀의 미네기시 코치다 즉시 체포하시오 미네기시는 혐의를 완강히 부인하지만 살인 용의자로 체포되고 동료 선수와 스태프 모두는 충격에 빠진다 살해 동기와 결정적 물증을 찾지 못해 수사가 지지부진한 가운데 미네기시는 자신을 지목한 탐정 즉 밀고자를 알아내기 위해 유치장에서 혼자만의 추리를 시작하는데 이제 니레이 살인 사건 이면에 숨겨져 있던 끔찍한 계획이 서서히 그 실체를 드러낸다                      책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,13950,10,1
3,"칵테일, 러브, 좀비",조예은 저        ,안전가옥 쇼트 시리즈의 두 번째 책으로 조예은 작가의 단편집이다 안전가옥 오리지널 시리즈의 첫 책 뉴서울파크 젤리장수 대학살에서 탄탄한 구성의 호러 스릴러를 선보였던 작가의 연출력은 단편집에서 더욱 다양한 색채로 빛을 발한다 미묘하지만 분명한 폭력을 감내해 왔던 여성 빌런의 탄생을 그린 초대 물귀신과 숲귀신 사이의 사랑스러운 이끌림을 담은 습지의 사랑 블랙 유머를 통해 가부장제의 이면을 들여다보는 오컬트 좀비물 칵테일 러브 좀비 제2회 황금가지 타임리프 공모전에서 우수상을 차지한 오버랩 나이프 나이프 등 네 작품을 수록하였다                                     ,9000,9.4,1
4,허상의 어릿광대,히가시노 게이고 저,천재 물리학자와 엘리트 형사가 상식을 초월하는 불가사의한 사건에 도전한다오리콘 도서 랭킹 종합 1위에 빛나는 순혈 히가시노 게이고 미스터리탐정 갈릴레오가 돌아왔다 천재적인 과학적 통찰력과 날카로운 추리력을 지닌 희대의 명탐정이 인간의 상식을 초월하는 불가사의한 사건에 또 한 번 도전한다 유가와 마나부 교수와 구사나기 형사 콤비가 등장하는 일명 탐정 갈릴레오 시리즈는 일본에서 TV 드라마와 영화로 만들어져 크게 인기를 끌기도 했다 2007년 탐정 갈릴레오 제1시리즈가 TV에서 방영되어 폭발적인 반응을 얻은데 이어 2013년에는 제2시리즈가 만들어졌다 영화로는 2008년 소설 탐정 갈릴레오 시리즈 제3탄 용의자 X의 헌신이 2013년에는 제6탄 한여름의 방정식이 후쿠야마 마사하루 주연으로 제작되어 일본에서 개봉되었으며 영화의 흥행에 힘입어 소설도 시리즈 통산 2천만부가 넘는 판매를 기록했다오랜만에 한국 독자들을 찾아온 탐정 갈릴레오 시리즈 제7탄 허상의 어릿광대는 모두 일곱 편으로 구성되어 있다 본래 이 소설집에는 네 편의 연작이 실려 있었으나 나중에 문고판을 내면서 시리즈 다음 편인 금단의 마술에 실렸던 네 편의 작품 중 세편을 더해 히가시노 게이고를 사랑하는 독자들에게는 선물 같은 작품이 되었다                      책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,16920,9.8,1
5,백은의 잭,히가시노 게이고 저,히가시노 게이고 최고의 설원 미스터리 새롭게 탄생압도적인 속도감으로 독자들을 사로잡는 걸작 서스펜스히가시노 게이고 최고의 속도감을 자랑하는 설원 미스터리 소설 백은의 잭이 출간된다 일본에서 발매된 지 약 한 달 만에 100만 부를 돌파하며 베스트셀러 정상 자리를 독점한 백은의 잭은 코믹스 드라마 등 다양한 매체로 미디어 믹스를 전개하며 최고의 화제작이라는 칭호에 걸맞은 폭발적인 인기를 이어나갔다 한국에 처음 출간된 지 10여 년 만에 새로운 모습으로 독자들을 다시 찾아온 본 작품은 일본 문학 전문 번역가인 양윤옥 역자의 번역으로 원문의 느낌을 보다 생생하게 독자들에게 전한다은백색 설원이 펼쳐진 신게쓰고원 스키장 이제 막 시즌이 시작돼 스키와 스노보드를 타러 오는 손님들을 맞기 위한 준비로 분주한 그곳에 파란이 일어난다 겔렌데에 폭발물을 설치했다 원격조종으로 언제 어디서든 타이머를 작동해 폭발시킬 수 있으니 이를 막고 싶다면 3일 이내에 3천만 엔을 준비하라는 익명의 협박장이 날아든 것이다 삭도 사업본부 매니저 구라타는 스키장을 이용하는 손님들의 안전을 위해 경찰에 신고하자고 호소하지만 임원진은 스키장의 이미지 실추와 이 사태가 알려질 경우 고객들의 발걸음이 끊길 것을 우려해 신고하지 않기로 한다 그리고 구라타에게 비밀리에 이 일을 처리하라고 지시한다 스키장은 협박범의 요구를 받아들이지만 범인의 요구는 계속되고 이 사건의 중심에 1년 전 겔렌데를 피로 물들인 사망 사고가 있다는 것이 밝혀지는데 범인의 동기는 돈일까 아니면 복수일까 지금 범인과 목숨을 건 레이스가 시작된다                     책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,15120,10,1
6,소문,오기와라 히로시 저,마지막 4글자에 모든 것이 뒤바뀐다일본 미스터리 역사상 최고의 반전이라는 입소문이그 자체로 진실이 된 바로 그 소설 소문 복간새로 런칭하는 향수 홍보를 위해 거짓 소문이 퍼진다 한밤중 시부야에 뉴욕에서 온 살인마 레인맨이 나타나서 소녀들을 죽이고 발목을 잘라 가는데 뮈리엘 로즈를 뿌리면 괜찮다라고 하는 도시전설과 같은 소문 이 소문은 여고생들의 입을 타고 시부야를 중심으로 퍼져나가며 향수는 선풍적인 인기를 끌고 입소문 전략은 대성공을 거둔다 그런데 소문이 현실이 되어 발목이 잘린 소녀의 시체가 하나둘 발견되는데 2009년 국내에 처음 출간된 후 미스터리 독자들 사이에서 최고의 반전 소설으로 꼽혔던 오기와라 히로시의 서스펜스 스릴러 소문이 새롭게 태어났다 소문의 일본판 띠지 앞면에는 이렇게 적혀 있다 헉 소리가 나는 충격적인 마지막 한 줄 그리고 띠지 뒷면으로 이어지는 문구는 다음과 같다 읽기 시작하면 뒤가 궁금해져서 멈출 수가 없기에 주의 바랍니다 소문은 바로 그런 소설이다 한 번 집어들면 절대 멈출 수 없으며 그 끝에 다다랐을 때 자기도 모르게 비명과 같은 신음이 터져 나오는 그런 소설                      책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,14850,9.3,1
7,백조와 박쥐,히가시노 게이고 저,MD 한마디                                    히가시노 게이고 데뷔 35주년 기념작 히가시노 게이고판 죄와 벌이라 불린 소설 1984년 용의자의 죽음으로 종결됐던 살인 사건이 2017년 한 남자의 자백으로 뿌리부터 뒤흔들린다 30여 년에 걸친 미스터리를 추적하는 탄탄하고 압도적인 서사와 인간에 대한 따뜻한 시선을 잃지 않는 감동의 드라마가 함께 녹아있는 이야기 소설MD 박형욱                                죄와 벌의 문제는 누가 재단할 수 있는가히가시노 게이고 작가 데뷔 35주년 기념작품전 세계 베스트셀러 나미야 잡화점의 기적 작가이자 현존하는 일본 추리소설계 최고의 거장으로 손꼽히는 히가시노 게이고의 장편소설 백조와 박쥐가 출간되었다 데뷔 35주년을 맞아 2021년 4월에 발표한 이 소설은 한국어판 기준 총 568쪽 원고지 2천 매가 넘는 대작으로 2007년부터 15년 가까이 히가시노의 주요 작품들을 우리말로 옮겨온 일본 문학 전문 번역가 양윤옥이 번역을 맡았다 35주년 기념작 백조와 박쥐는 히가시노가 자신의 추리소설 본령으로 돌아가서 더욱 원숙해진 기량으로 써낸 새로운 대표작이라는 찬사를 받고 있다두툼한 분량에도 하루 이틀 만에 독파했다는 현지 독자들의 앞선 리뷰가 증명하듯이 소설은 33년의 시간차를 두고 일어난 두 개의 살인 사건과 이에 얽히는 인물들이 저마다 진실을 좇아가는 장대한 이야기를 탄탄한 틀 안에서 흡인력 있게 풀어낸다 나아가 공소시효 폐지의 소급 적용 문제 형사재판 피해자 참여제도 SNS 시대에 더욱 논란이 되는 범죄자와 그 가족에 대한 신상 털기나 공판 절차의 허점 등 굵직한 사회적 논의들을 아우르면서도 추리소설 본연의 재미를 잃지 않으며 차곡차곡 서사를 쌓아나가 놀라운 결말에 다다르는 데는 거장의 노련함이 물씬 느껴진다 그리고 무엇보다 그 기저에는 인간에 대한 따뜻한 시선을 견지해온 작가가 전하는 사람들이 살아가는 가슴 뭉클한 드라마가 녹아 있다                     책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,16200,9.4,1
8,나일 강의 죽음,애거사 크리스티 저        ,전 세계 미스터리의 역사를 재창조한 추리 소설의 여왕애거서 크리스티를 대표하는 작품만을 모은 에디터스 초이스모든 걸 가졌어 저 여잔 말이야 공평하지 않은 것 같아 눈부신 미모에 막대한 재산 젊고 아름다운 상속녀 리넷 리지웨이는 모든 걸 다 가진 여자였다 그리고 그녀는 자신의 가난한 친구 자클린이 가진 유일한 것 바로 자클린이 사랑하는 사이먼 도일을 기어이 빼앗고 만다 도일 부부가 되어 이집트로 신혼여행을 떠나는 두 사람의 뒤를 그림자처럼 따르는 자클린 그리고 그 증오가 점화가 되어 어느 밤 나일 강 위를 따라가는 고급 유람선 위에는 한 방의 총성이 울려 퍼진다 다음 날 아침 리넷은 자신의 선실에서 차가운 시체로 발견되는데 섬세하게 짜인 플롯 개성적인 인물 낭만적이면서도 야만스러운 배경의 삼박자가 모두 맞아떨어지는 작품으로 영화와 드라마로 여러 번 리메이크되었다                                    ,9000,9.6,1
9,그리고 아무도 없었다,애거사 크리스티 저        , 인디언 섬에 초대받은 여덟 명의 손님과 웃음을 잃은 하인 부부 이들의 호화로운 저녁 식탁 위에 놓여 있는 열 개의 꼬마 인디언 인형 열명의 인디언 소년동요 가사에 맞추어 한 사람씩 죽어가면서 인형이 하나씩 사라진다 인디언 섬에는 이들 열 명 외엔 아무도 없다 살인자는 누구인가 피할 수 없는 죽음의 공포와 함께 잃어버린 과거의 망령이 피를 얼리며 다가온다 이 소설은 애거서 크리스티 최고의 작품이자 세계 추리소설 사상 가장 완벽한 작품으로 손꼽히고 있다                     책의 일부 내용을 미리 읽어보실 수 있습니다 미리보기,10800,8.6,1
